WORKOUTID,TITLE,GENRES
1092,Mood Booster,R&B/Soul/Jazz
1094,Power,Rock|R&B/Soul/Jazz
1095,Y2K Babyyy,Pop
1097,Super Monster,Electronic|Latin/Reggae/World
1101,Strut,Pop
1102,Break Stuff,Rock
1103,Quick Hits,Hip Hop
1104,Quick Hits,Rock
1105,Quick Hits,Pop|Electronic
1106,Skinny Jeans and Ripped Seams,Rock
1107,Freedom Rock,Rock|R&B/Soul/Jazz
1108,Reggae Getaway,Latin/Reggae/World
1109,Flow,Pop
1118,Monster,Hip Hop
1120,Quick Hits,Pop|Electronic
1121,Quick Hits,Rock
1122,Quick Hits,Electronic
1123,Cover Lover,Rock
1124,Just Dance,Pop|Electronic
1125,Fuego,Pop|Latin/Reggae/World
1126,Mood Booster,Pop|Rock
1127,Pop Till You Punk,Rock
1131,Quick Hits,Hip Hop
1132,Quick Hits,Country
1133,Quick Hits,Electronic
1135,Hip Hop You Don't Stop,Hip Hop
1136,Pros Only,Rock
1137,Shower Songs,Pop|Rock
1138,Monster,Pop|Electronic|R&B/Soul/Jazz
1139,Pop Till You Drop,Pop|Electronic
1140,Rock The Ages,Rock|Country
1141,Quick Hits,Rock
1142,Quick Hits,Pop
1145,Rapattack,Hip Hop
1146,The Drop,Electronic
1150,Retrofit,Rock
1152,Just Dance,Pop|Hip Hop
1153,Freedom Rock,Rock
1154,"Pump, You Up 90s",Pop|Rock
1155,Break Up Shape Up,Pop
1156,Quick Hits,Rock|Electronic
1157,Quick Hits,Pop
1158,Quick Hits,Rock
1159,A Call To Arms,Electronic
1160,Hair Brained,Rock
1161,Monster,Pop|R&B/Soul/Jazz
1162,That Feeling,R&B/Soul/Jazz
1164,Molten Rock,Rock
1166,Quick Hits,Hip Hop
1171,Quick Hits,Pop
1174,Quick Hits,Pop|Rock
1180,Quick Hits,Electronic
1181,Superfreak,R&B/Soul/Jazz
1182,Skinny Jeans and Ripped Seams,Rock
1183,Quick Hits,Rock
1184,Quick Hits,Pop|Electronic
1185,Quick Hits,Rock
1186,Quick Hits,Electronic
1187,Quick Hits,Pop|Rock
1188,Sweaty Flannel,Rock
1189,Sweat Symphony,Classical/Musical
1191,Monster,Pop|Electronic
1192,Molten Rock,Rock
1193,Just Dance,Electronic|R&B/Soul/Jazz
1194,Joy,Pop
1195,Hip Hop You Don't Stop,Hip Hop
1197,Fresh Finds,Pop|Electronic
1199,Self Love,Pop
1210,Game Time,Rock|Hip Hop
1211,Retrofit,Rock
1212,The Drop,Electronic
1214,Strut,Rock
1215,Guilty Pleasures,Pop|R&B/Soul/Jazz
1216,Quick Hits,Rock
1217,Quick Hits,Rock
1219,Pop Till You Drop,Pop
1220,Pop Till You Drop,Pop
1221,Jazz It Up,R&B/Soul/Jazz
1222,Monster,Hip Hop|R&B/Soul/Jazz|Latin/Reggae/World
1223,Pop Till You Drop,Pop
1225,Mood Booster,Rock
1226,Rock Hard,Rock
1227,Quick Hits,Classical/Musical
1228,Quick Hits,R&B/Soul/Jazz|Latin/Reggae/World
1230,Quick Hits,Rock
1231,Prom Night,Pop|Rock|R&B/Soul/Jazz
1238,Day 1,No Genre
1239,Day 2,No Genre
1240,Day 3,No Genre
1241,Day 4,No Genre
1242,Day 5,No Genre
1244,Day 7,No Genre
1245,Rap-ture,Pop|Hip Hop
1246,The Drop,Electronic
1250,Power,Rock|Electronic
1251,Glutacious,Pop|Electronic|Hip Hop
1252,Monster,Pop|Hip Hop
1253,Quick Hits,Pop
1254,Quick Hits,Pop|Latin/Reggae/World
1255,Quick Hits,Pop|Latin/Reggae/World
1256,Super Monster,Pop|Electronic
1257,Rapattack,Hip Hop
1258,Mood Booster,Rock|R&B/Soul/Jazz
1264,Rock The Ages,Rock
1267,Guilty Pleasures,Electronic
1268,Shower Songs,Pop|Electronic
1270,Girl Power,Pop|R&B/Soul/Jazz
1271,Strut,Pop|Rock
1272,Quick Hits,Pop|Rock
1273,Quick Hits,Rock
1276,Rock Hard,Rock
1277,Break Stuff,Electronic|Hip Hop
1279,Broken Dreams Team,Rock
1281,Fuego,Pop|Latin/Reggae/World
1285,Nouveau Disco,Electronic|R&B/Soul/Jazz
1286,Summer,Pop
1287,"Pump, You Up 90s",Rock
1288,Pop Till You Drop,Pop|Latin/Reggae/World
1289,Rock Boom Baby,Rock|R&B/Soul/Jazz
1290,Abs-o'licious,Pop|Rock
1291,The Drop,Electronic
1292,Quick Hits,Pop|Electronic
1293,Quick Hits,Rock
1294,Quick Hits,Pop|Hip Hop
1297,Monster,Rock
1298,Rock The Ages,Rock
1299,Retrofit,Rock
1300,The Drop,Pop|Electronic
1301,Rock The Ages,Rock|Latin/Reggae/World
1302,Monster,Rock
1303,Quick Hits,Electronic
1304,Quick Hits,Classical/Musical
1305,Quick Hits,Pop
1307,Rapattack,Hip Hop|Latin/Reggae/World
1308,Punk You,Rock
1310,Superfreak,R&B/Soul/Jazz
1311,Rapattack,Hip Hop
1312,Flow,Pop|R&B/Soul/Jazz
1320,Mood Booster,Pop|Rock
1321,Freedom Rock,Pop
1324,Hair Brained,Rock
1325,Jazz It Up,R&B/Soul/Jazz|Latin/Reggae/World
1326,Molten Rock,Rock
1327,Quick Hits,Rock
1328,Quick Hits,Rock
1329,Quick Hits,Pop|Rock
1330,Super Monster,R&B/Soul/Jazz
1331,Fresh Finds,Pop|Latin/Reggae/World
1332,The Drop,Electronic|Latin/Reggae/World
1337,Just Dance,Electronic
1338,Game Time,Electronic|Hip Hop
1339,Quick Hits,Rock
1340,Quick Hits,Pop
1341,Quick Hits,Electronic|R&B/Soul/Jazz
1342,Glutacious,Pop|Latin/Reggae/World
1343,Break Up Shape Up,Pop
1344,Guilty Pleasures,Pop
1345,Smooth Sailing,R&B/Soul/Jazz
1346,Pop Till You Drop,Pop|Electronic
1347,Girl Power,Electronic
1349,Quick Hits,Hip Hop
1350,Quick Hits,Pop|Hip Hop
1351,Quick Hits,R&B/Soul/Jazz
1353,Boxing: Basics,Hip Hop
1354,Game Time,Pop|Hip Hop
1355,Molten Rock,Rock
1356,Cover Lover,Rock|R&B/Soul/Jazz
1357,Summer,Pop|R&B/Soul/Jazz|Latin/Reggae/World
1358,"Pump, You Up 90s",Hip Hop
1359,Pros Only,Electronic|Hip Hop
1360,Take The Stage,R&B/Soul/Jazz
1364,Power,Pop|Rock
1365,Hoedown Throwdown,Country
1373,Quick Hits,Electronic|Hip Hop
1374,Quick Hits,Hip Hop
1375,Quick Hits,Rock
1376,Pop Till You Punk,Rock
1377,Y2K Babyyy,Pop|Rock
1378,Quick Hits,R&B/Soul/Jazz
1379,Quick Hits,Rock
1380,Quick Hits,Rock
1381,Breakout Role,Classical/Musical
1382,Monster,Electronic
1392,Pop Till You Drop,Pop
1393,Nouveau Disco,Electronic|R&B/Soul/Jazz
1394,Hair Brained,Rock
1395,Retrofit,Rock
1396,Broken Dreams Team,Rock
1398,Break Stuff,Rock
1399,Strut,Rock
1401,Just Dance,Pop|Hip Hop
1403,Pros Only,Rock
